// ID,DBName,kROName,iROName,Lvl,HP,SP,BaseExp,JobExp,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,ADelay,aMotion,dMotion,MVPExp,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
//===================================================================================================================================================================================================================================================================================================================================================================================================================
//1921,EASTER_BUNNY,Easter Bunny,Easter Bunny,6,1800,0,60,55,1,20,26,0,40,1,36,6,1,11,80,10,10,0,2,60,0x000000B5,200,1456,456,336,0,0,0,,0,,0,,2250,200,515,8000,727,1200,746,1500,706,30,622,50,534,5000,0,,0,,4006,70
1994,doki3,Doki,Doki,99,7444,0,0,0,1,14000,24000,140,35,200,99,1,100,2000,200,10,12,1,7,80,0x3085,200,720,528,432,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,

//Monstros do Chunin Shiken
//1993,CHUNIN,[Edo Tensei] Chunin,[Edo Tensei] Chunin,999,2800000,21000,0,0,1,10000,15000,60,40,300,300,400,400,2000,400,10,12,0,1,69,0x308D,120,400,816,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
//1994,ANBU,[Edo Tensei] ANBU,[Edo Tensei] ANBU,999,3800000,21000,0,0,1,10000,15000,60,40,300,300,400,400,2000,400,10,12,0,1,69,0x308D,120,400,816,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
//1995,CapAnbu,[Edo Tensei] Cap. ANBU,[Edo Tensei] Cap. ANBU,999,4800000,21000,0,0,1,10000,15000,60,40,300,300,400,400,2000,400,10,12,0,1,69,0x308D,120,400,816,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
//1996,G_INCANTATION_SAMURAI,[Edo Tensei] Samurai,[Edo Tensei] Samurai,999,6800000,21000,0,0,1,10000,15000,60,40,300,300,400,400,2000,400,10,12,0,1,69,0x308D,120,400,816,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1997,DELETER,Edo Tensei,Edo Tensei,1,5000,0,2,1,1,7,10,0,5,1,1,1,0,6,30,10,12,1,1,89,0x40,400,1872,672,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,DELETER,Edo Tensei,Edo Tensei,1,10000,0,2,1,1,7,10,0,5,1,1,1,0,6,30,10,12,1,1,89,0x40,400,1872,672,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,DELETER,Edo Tensei,Edo Tensei,1,15000,0,2,1,1,7,10,0,5,1,1,1,0,6,30,10,12,1,1,89,0x40,400,1872,672,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,DELETER,Edo Tensei,Edo Tensei,1,20000,0,2,1,1,7,10,0,5,1,1,1,0,6,30,10,12,1,1,89,0x40,400,1872,672,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//port�es
1905,BARRICADE,Port�o konoha 1,Port�o konoha 1,98,5000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,BARRICADE_,Port�o konoha 2,Port�o konoha 2,98,10000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,S_EMPEL_1,Port�o konoha 3,Port�o konoha 3,98,20000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,S_EMPEL_2,Port�o konoha 4,Port�o konoha 4,98,30000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,OBJ_A,Port�o konoha 5,Port�o konoha 5,98,40000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,OBJ_B,Port�o konoha 6,Port�o konoha 6,98,50000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2001,BARRICADE,Port�o suna 1,Port�o suna 1,98,5000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,BARRICADE_,Port�o suna 2,Port�o suna 2,98,10000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,S_EMPEL_1,Port�o suna 3,Port�o suna 3,98,20000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,S_EMPEL_2,Port�o suna 4,Port�o suna 4,98,30000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,OBJ_A,Port�o suna 5,Port�o suna 5,98,40000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,OBJ_B,Port�o suna 6,Port�o suna 6,98,50000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2007,BARRICADE,Port�o nevoa 1,Port�o nevoa 1,98,5000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,BARRICADE_,Port�o nevoa 2,Port�o nevoa 2,98,10000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,S_EMPEL_1,Port�o nevoa 3,Port�o nevoa 3,98,20000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,S_EMPEL_2,Port�o nevoa 4,Port�o nevoa 4,98,30000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,OBJ_A,Port�o nevoa 5,Port�o nevoa 5,98,40000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,OBJ_B,Port�o nevoa 6,Port�o nevoa 6,98,50000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2013,BARRICADE,Port�o nuvem 1,Port�o nuvem 1,98,5000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,BARRICADE_,Port�o nuvem 2,Port�o nuvem 2,98,10000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,S_EMPEL_1,Port�o nuvem 3,Port�o nuvem 3,98,20000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,S_EMPEL_2,Port�o nuvem 4,Port�o nuvem 4,98,30000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,OBJ_A,Port�o nuvem 5,Port�o nuvem 5,98,40000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,OBJ_B,Port�o nuvem 6,Port�o nuvem 6,98,50000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
